Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
orderbarang,Chrome 111.0.0.0,,,2023-04-11 22:37:34,2023-04-11 22:39:33,1m - 58.596s,PASSED
,,,,,,,
Test Cases/order-SauceLabsBackpack,Chrome 111.0.0.0,,,2023-04-11 22:37:35,2023-04-11 22:37:56,21.093s,PASSED
"order.orderbarang.OrderBarang(""Sauce Labs Backpack"")",Chrome 111.0.0.0,,,2023-04-11 22:37:35,2023-04-11 22:37:56,20.643s,PASSED
,,,,,,,
Test Cases/order-SauceLabsBikeLight,Chrome 111.0.0.0,,,2023-04-11 22:37:56,2023-04-11 22:38:15,19.466s,PASSED
"order.orderbarang.OrderBarang(""Sauce Labs Bike Light"")",Chrome 111.0.0.0,,,2023-04-11 22:37:56,2023-04-11 22:38:15,18.815s,PASSED
,,,,,,,
Test Cases/order-SauceLabsBoltTshirt,Chrome 111.0.0.0,,,2023-04-11 22:38:15,2023-04-11 22:38:35,19.257s,PASSED
"order.orderbarang.OrderBarang(""Sauce Labs Bolt T-Shirt"")",Chrome 111.0.0.0,,,2023-04-11 22:38:16,2023-04-11 22:38:35,18.844s,PASSED
,,,,,,,
Test Cases/order-SauceLabsFleeceJacket,Chrome 111.0.0.0,,,2023-04-11 22:38:35,2023-04-11 22:38:54,19.251s,PASSED
"order.orderbarang.OrderBarang(""Sauce Labs Fleece Jacket"")",Chrome 111.0.0.0,,,2023-04-11 22:38:35,2023-04-11 22:38:54,18.609s,PASSED
,,,,,,,
Test Cases/order-SauceLabsOnesie,Chrome 111.0.0.0,,,2023-04-11 22:38:54,2023-04-11 22:39:13,19.646s,PASSED
"order.orderbarang.OrderBarang(""Sauce Labs Onesie"")",Chrome 111.0.0.0,,,2023-04-11 22:38:54,2023-04-11 22:39:13,19.053s,PASSED
,,,,,,,
Test Cases/order-Test.allTheThings,Chrome 111.0.0.0,,,2023-04-11 22:39:13,2023-04-11 22:39:33,19.451s,PASSED
"order.orderbarang.OrderBarang(""Test.allTheThings() T-Shirt (Red)"")",Chrome 111.0.0.0,,,2023-04-11 22:39:14,2023-04-11 22:39:33,18.808s,PASSED
